product_id,estimated_annual_demand,shipment_records,assumed_ordering_cost,assumed_holding_cost_per_unit,demonstration_eoq
1684862,3470409,16,100,2,18629.0
1676592,1119252,22,100,2,10579.0
1700569,904493,3,100,2,9510.0
1664051,873011,37,100,2,9344.0
1667927,814076,20,100,2,9023.0
1700140,811381,17,100,2,9008.0
1683560,772283,30,100,2,8788.0
1666524,670437,19,100,2,8188.0
1700130,658352,9,100,2,8114.0
1700143,654556,10,100,2,8090.0
1661099,560687,6,100,2,7488.0
1671426,523433,36,100,2,7235.0
1684560,509739,52,100,2,7140.0
1700142,453026,11,100,2,6731.0
1678000,432782,18,100,2,6579.0
1700139,432338,12,100,2,6575.0
1693230,366911,11,100,2,6057.0
1664067,365628,15,100,2,6047.0
1699540,341263,25,100,2,5842.0
1674598,339161,23,100,2,5824.0
1685028,334332,15,100,2,5782.0
1700137,307136,9,100,2,5542.0
1699574,302349,12,100,2,5499.0
1655818,298241,86,100,2,5461.0
1651299,290185,63,100,2,5387.0
1677878,287598,140,100,2,5363.0
1677891,268576,86,100,2,5182.0
1682210,254751,8,100,2,5047.0
1700138,242995,5,100,2,4929.0
1699792,242801,10,100,2,4927.0
1700128,232717,3,100,2,4824.0
1692333,218490,14,100,2,4674.0
1664061,218139,14,100,2,4671.0
1682341,214962,1,100,2,4636.0
1689146,182862,18,100,2,4276.0
1691700,172844,47,100,2,4157.0
1668547,172295,95,100,2,4151.0
1699548,162871,10,100,2,4036.0
1656246,157878,46,100,2,3973.0
1699625,139879,9,100,2,3740.0
1699573,138254,2,100,2,3718.0
1699315,134766,9,100,2,3671.0
1660885,125027,79,100,2,3536.0
1682681,119330,5,100,2,3454.0
1675615,119329,67,100,2,3454.0
1699570,118093,11,100,2,3436.0
1689547,116341,192,100,2,3411.0
1699575,115739,5,100,2,3402.0
1695862,114615,2,100,2,3385.0
1671461,113985,4,100,2,3376.0
1676853,110323,73,100,2,3321.0
1689548,106434,133,100,2,3262.0
1691532,104880,3,100,2,3239.0
1700558,101498,2,100,2,3186.0
1699561,97864,10,100,2,3128.0
1699799,96012,21,100,2,3099.0
1699697,95942,12,100,2,3097.0
1651298,94118,29,100,2,3068.0
1685760,93002,7,100,2,3050.0
1699567,92894,10,100,2,3048.0
1662552,91141,66,100,2,3019.0
1699417,90846,13,100,2,3014.0
1699952,87544,42,100,2,2959.0
1667817,87128,49,100,2,2952.0
1677692,86157,15,100,2,2935.0
1666443,83255,8,100,2,2885.0
1687346,79646,118,100,2,2822.0
1699564,79480,4,100,2,2819.0
1699369,78252,19,100,2,2797.0
1682682,75476,5,100,2,2747.0
1676942,73016,18,100,2,2702.0
1699419,70326,13,100,2,2652.0
1699539,68118,15,100,2,2610.0
1689546,65619,129,100,2,2562.0
1654498,65617,2,100,2,2562.0
1687384,64976,7,100,2,2549.0
1664069,64809,9,100,2,2546.0
1699576,61558,6,100,2,2481.0
1699674,59627,10,100,2,2442.0
1699834,58734,10,100,2,2424.0
1668545,58594,101,100,2,2421.0
1697084,58476,23,100,2,2418.0
1687774,58313,3,100,2,2415.0
1694456,57878,3,100,2,2406.0
1688629,56490,119,100,2,2377.0
1699283,55550,18,100,2,2357.0
1699842,54544,9,100,2,2335.0
1699836,53844,6,100,2,2320.0
1688575,53589,117,100,2,2315.0
1696074,52806,49,100,2,2298.0
1693453,52480,16,100,2,2291.0
1697317,50597,27,100,2,2249.0
1699948,50251,46,100,2,2242.0
1676699,49559,6,100,2,2226.0
1669409,48788,49,100,2,2209.0
1689145,48171,38,100,2,2195.0
1654766,47267,30,100,2,2174.0
1689469,47242,35,100,2,2174.0
1696799,47234,20,100,2,2173.0
1688571,46608,120,100,2,2159.0
1686215,46430,5,100,2,2155.0
1695348,45843,34,100,2,2141.0
1678427,45763,4,100,2,2139.0
1699795,43601,7,100,2,2088.0
1699841,43522,11,100,2,2086.0
1699553,43141,22,100,2,2077.0
1679638,42123,32,100,2,2052.0
1667934,41982,7,100,2,2049.0
1658528,40044,68,100,2,2001.0
1651302,39872,50,100,2,1997.0
1697080,39033,31,100,2,1976.0
1668550,38966,22,100,2,1974.0
1688589,38658,112,100,2,1966.0
1683203,38594,45,100,2,1965.0
1696798,38218,15,100,2,1955.0
1699797,37835,6,100,2,1945.0
1679639,37170,4,100,2,1928.0
1700035,37128,19,100,2,1927.0
1676565,36857,41,100,2,1920.0
1699318,36233,1,100,2,1903.0
1699368,35903,8,100,2,1895.0
1660585,35677,41,100,2,1889.0
1699290,35263,1,100,2,1878.0
1676566,34569,42,100,2,1859.0
1666954,33720,45,100,2,1836.0
1699794,33672,11,100,2,1835.0
1699416,33517,6,100,2,1831.0
1688633,33294,95,100,2,1825.0
1697085,33115,26,100,2,1820.0
1699670,32841,8,100,2,1812.0
1660897,32772,25,100,2,1810.0
1683200,32224,53,100,2,1795.0
1683199,32209,26,100,2,1795.0
1670215,32107,12,100,2,1792.0
1699953,31770,16,100,2,1782.0
1654622,31180,3,100,2,1766.0
1660579,30651,39,100,2,1751.0
1680210,30472,35,100,2,1746.0
1675655,30270,42,100,2,1740.0
1675654,30194,23,100,2,1738.0
1650904,29656,23,100,2,1722.0
1699268,29413,21,100,2,1715.0
1699329,28742,11,100,2,1695.0
1682805,28244,49,100,2,1681.0
1688587,26921,80,100,2,1641.0
1683636,26170,59,100,2,1618.0
1672344,25926,8,100,2,1610.0
1699552,25669,13,100,2,1602.0
1682784,25623,68,100,2,1601.0
1693740,25607,2,100,2,1600.0
1677889,25517,43,100,2,1597.0
1683634,25111,46,100,2,1585.0
1663347,25013,27,100,2,1582.0
1658532,24594,55,100,2,1568.0
1683700,24543,6,100,2,1567.0
1698997,24504,2,100,2,1565.0
1689541,23406,55,100,2,1530.0
1669702,23079,30,100,2,1519.0
1695687,22570,2,100,2,1502.0
1689033,22137,26,100,2,1488.0
1700106,22027,12,100,2,1484.0
1694720,21614,21,100,2,1470.0
1678493,21299,8,100,2,1459.0
1698924,21257,2,100,2,1458.0
1684808,21068,4,100,2,1451.0
1695345,20969,15,100,2,1448.0
1683704,20850,11,100,2,1444.0
1702016,20483,1,100,2,1431.0
1693618,20465,10,100,2,1431.0
1689544,20436,65,100,2,1430.0
1678674,20304,1,100,2,1425.0
1677877,20213,8,100,2,1422.0
1696746,20049,40,100,2,1416.0
1699515,20017,3,100,2,1415.0
1677884,19792,25,100,2,1407.0
1699690,19654,4,100,2,1402.0
1699689,19441,3,100,2,1394.0
1669701,19352,17,100,2,1391.0
1693747,19313,44,100,2,1390.0
1674853,19148,52,100,2,1384.0
1692949,18862,14,100,2,1373.0
1699537,18583,5,100,2,1363.0
1692109,18525,20,100,2,1361.0
1699682,18030,7,100,2,1343.0
1689032,17875,24,100,2,1337.0
1671416,17430,3,100,2,1320.0
1693001,17387,1,100,2,1319.0
1672661,17324,31,100,2,1316.0
1650685,17290,7,100,2,1315.0
1660578,17239,35,100,2,1313.0
1646393,17237,15,100,2,1313.0
1660580,16822,37,100,2,1297.0
1663396,16759,17,100,2,1295.0
1666295,16718,20,100,2,1293.0
1699418,16450,3,100,2,1283.0
1689549,16427,54,100,2,1282.0
1699951,16391,14,100,2,1280.0
1699562,16279,4,100,2,1276.0
1699676,16240,1,100,2,1274.0
1672651,16227,28,100,2,1274.0
1688285,16083,52,100,2,1268.0
1688288,16074,48,100,2,1268.0
1696263,15952,5,100,2,1263.0
1689147,15602,25,100,2,1249.0
1699378,15580,2,100,2,1248.0
1699591,15486,4,100,2,1244.0
1699022,15144,4,100,2,1231.0
1699772,15052,16,100,2,1227.0
1692946,14956,10,100,2,1223.0
1699583,14831,5,100,2,1218.0
1615677,14581,14,100,2,1208.0
1692948,14498,10,100,2,1204.0
1695349,14454,18,100,2,1202.0
1699946,14254,30,100,2,1194.0
1688290,14220,46,100,2,1192.0
1682679,14125,4,100,2,1188.0
1697072,14079,10,100,2,1187.0
1683197,14069,26,100,2,1186.0
1662551,13787,6,100,2,1174.0
1699380,13612,4,100,2,1167.0
1692984,13354,10,100,2,1156.0
1684703,12957,22,100,2,1138.0
1699586,12815,4,100,2,1132.0
1655982,12811,20,100,2,1132.0
1650905,12804,11,100,2,1132.0
1672707,12690,12,100,2,1126.0
1622685,12650,22,100,2,1125.0
1675662,12523,11,100,2,1119.0
1684559,12513,2,100,2,1119.0
1697444,12480,9,100,2,1117.0
1680915,12234,26,100,2,1106.0
1674120,12131,16,100,2,1101.0
1696747,11907,14,100,2,1091.0
1681878,11895,8,100,2,1091.0
1699241,11854,4,100,2,1089.0
1698913,11849,3,100,2,1089.0
1660673,11610,21,100,2,1077.0
1699584,11419,5,100,2,1069.0
1666961,11285,31,100,2,1062.0
1672722,11042,17,100,2,1051.0
1689031,10988,11,100,2,1048.0
1682832,10930,27,100,2,1045.0
1692277,10786,2,100,2,1039.0
1660563,10697,15,100,2,1034.0
1656353,10624,16,100,2,1031.0
1692950,10601,9,100,2,1030.0
1649002,10575,22,100,2,1028.0
1699623,10531,1,100,2,1026.0
1689551,10502,29,100,2,1025.0
1700557,10315,1,100,2,1016.0
1676851,10299,1,100,2,1015.0
1696654,10220,7,100,2,1011.0
1695346,10135,14,100,2,1007.0
1623991,10001,14,100,2,1000.0
1699336,9983,13,100,2,999.0
1690006,9982,13,100,2,999.0
1682826,9978,17,100,2,999.0
1672676,9917,18,100,2,996.0
1663337,9913,12,100,2,996.0
1699285,9841,3,100,2,992.0
1685211,9762,15,100,2,988.0
1690630,9753,24,100,2,988.0
1689012,9687,8,100,2,984.0
1682757,9625,30,100,2,981.0
1675670,9607,16,100,2,980.0
1696075,9582,9,100,2,979.0
1689550,9491,27,100,2,974.0
1681885,9457,5,100,2,972.0
1682802,9418,23,100,2,970.0
1657475,9396,5,100,2,969.0
1656350,9343,19,100,2,967.0
1652883,9334,16,100,2,966.0
1687661,9240,24,100,2,961.0
1696758,9172,26,100,2,958.0
1690616,9122,30,100,2,955.0
1697306,9119,4,100,2,955.0
1650586,9056,3,100,2,952.0
1673710,9022,9,100,2,950.0
1700097,8985,18,100,2,948.0
1680562,8984,13,100,2,948.0
1676564,8964,12,100,2,947.0
1692940,8918,12,100,2,944.0
1629341,8790,3,100,2,938.0
1681890,8731,6,100,2,934.0
1690627,8715,25,100,2,934.0
1696073,8679,16,100,2,932.0
1690621,8645,26,100,2,930.0
1699311,8637,2,100,2,929.0
1699525,8592,2,100,2,927.0
1699337,8544,9,100,2,924.0
1655723,8539,20,100,2,924.0
1689554,8483,10,100,2,921.0
1672706,8460,25,100,2,920.0
1671942,8431,15,100,2,918.0
1692998,8366,11,100,2,915.0
1682709,8343,22,100,2,913.0
1699371,8254,2,100,2,909.0
1690619,8242,25,100,2,908.0
1668127,8221,15,100,2,907.0
1688294,8208,26,100,2,906.0
1660677,8191,14,100,2,905.0
1681888,8095,3,100,2,900.0
1699694,8088,2,100,2,899.0
1693865,8020,7,100,2,896.0
1690628,7994,26,100,2,894.0
1699248,7986,3,100,2,894.0
1674635,7972,25,100,2,893.0
1702652,7939,8,100,2,891.0
1699465,7893,3,100,2,888.0
1668608,7824,11,100,2,885.0
1689543,7815,27,100,2,884.0
1699555,7803,7,100,2,883.0
1644308,7750,19,100,2,880.0
1672664,7738,16,100,2,880.0
1682739,7706,21,100,2,878.0
1685212,7549,14,100,2,869.0
1683432,7525,19,100,2,867.0
1676563,7484,16,100,2,865.0
1699345,7483,5,100,2,865.0
1686401,7435,17,100,2,862.0
1699557,7373,7,100,2,859.0
1672670,7304,17,100,2,855.0
1650568,7241,11,100,2,851.0
1682769,7122,19,100,2,844.0
1696754,7094,20,100,2,842.0
1696262,7075,5,100,2,841.0
1686463,7071,4,100,2,841.0
1666994,7053,14,100,2,840.0
1668555,6955,6,100,2,834.0
1672986,6903,7,100,2,831.0
1692114,6886,8,100,2,830.0
1697872,6741,17,100,2,821.0
1651366,6614,13,100,2,813.0
1696482,6604,14,100,2,813.0
1700094,6597,21,100,2,812.0
1672091,6570,16,100,2,811.0
1672714,6436,16,100,2,802.0
1688610,6365,15,100,2,798.0
1671834,6310,1,100,2,794.0
1666470,6278,1,100,2,792.0
1671833,6252,1,100,2,791.0
1687353,6249,18,100,2,791.0
1699372,6174,4,100,2,786.0
1650880,6124,5,100,2,783.0
1699242,6051,7,100,2,778.0
1662274,6047,15,100,2,778.0
1686758,5992,2,100,2,774.0
1682736,5983,16,100,2,773.0
1688292,5921,20,100,2,769.0
1697884,5910,8,100,2,769.0
1661119,5880,19,100,2,767.0
1672713,5875,17,100,2,766.0
1687644,5821,6,100,2,763.0
1613321,5781,5,100,2,760.0
1650715,5755,14,100,2,759.0
1699771,5715,6,100,2,756.0
1690614,5687,17,100,2,754.0
1689545,5673,16,100,2,753.0
1656839,5666,12,100,2,753.0
1692997,5572,12,100,2,746.0
1617826,5535,8,100,2,744.0
1669584,5502,7,100,2,742.0
1668421,5499,2,100,2,742.0
1653588,5467,9,100,2,739.0
1686762,5381,8,100,2,734.0
1682829,5332,7,100,2,730.0
1699231,5284,1,100,2,727.0
1679687,5280,1,100,2,727.0
1668094,5277,14,100,2,726.0
1699700,5250,1,100,2,725.0
1689460,5244,7,100,2,724.0
1698977,5196,5,100,2,721.0
1683191,5055,9,100,2,711.0
1668492,5034,8,100,2,710.0
1660551,5009,14,100,2,708.0
1668612,5003,12,100,2,707.0
1699249,4842,4,100,2,696.0
1657064,4819,13,100,2,694.0
1682760,4816,15,100,2,694.0
1668347,4809,6,100,2,693.0
1668344,4691,13,100,2,685.0
1668346,4652,12,100,2,682.0
1689788,4645,13,100,2,682.0
1672085,4645,15,100,2,682.0
1682742,4630,14,100,2,680.0
1655754,4618,2,100,2,680.0
1682745,4614,12,100,2,679.0
1699524,4600,2,100,2,678.0
1677887,4562,2,100,2,675.0
1699666,4560,3,100,2,675.0
1675810,4554,15,100,2,675.0
1688678,4443,1,100,2,667.0
1663341,4419,8,100,2,665.0
1697081,4408,5,100,2,664.0
1657063,4398,10,100,2,663.0
1657474,4388,1,100,2,662.0
1699326,4385,3,100,2,662.0
1668496,4384,4,100,2,662.0
1646909,4344,13,100,2,659.0
1692899,4300,1,100,2,656.0
1699298,4258,1,100,2,653.0
1672721,4231,9,100,2,650.0
1643057,4179,2,100,2,646.0
1620510,4177,10,100,2,646.0
1672345,4169,2,100,2,646.0
1692108,4140,11,100,2,643.0
1687491,4045,8,100,2,636.0
1696757,3955,12,100,2,629.0
1699184,3928,3,100,2,627.0
1672117,3923,13,100,2,626.0
1699312,3905,1,100,2,625.0
1683392,3862,12,100,2,621.0
1666958,3813,9,100,2,617.0
1652644,3811,11,100,2,617.0
1699526,3787,2,100,2,615.0
1699798,3775,2,100,2,614.0
1691544,3722,10,100,2,610.0
1677229,3675,12,100,2,606.0
1690617,3643,12,100,2,604.0
1670203,3634,3,100,2,603.0
1668099,3628,5,100,2,602.0
1699314,3585,3,100,2,599.0
1692722,3581,8,100,2,598.0
1696756,3556,9,100,2,596.0
1699310,3538,3,100,2,595.0
1688824,3537,7,100,2,595.0
1680561,3531,1,100,2,594.0
1692708,3397,10,100,2,583.0
1683633,3374,10,100,2,581.0
1699770,3355,4,100,2,579.0
1699308,3312,1,100,2,575.0
1654623,3281,6,100,2,573.0
1687354,3278,10,100,2,573.0
1693626,3268,8,100,2,572.0
1666507,3249,5,100,2,570.0
1682754,3201,11,100,2,566.0
1678652,3175,3,100,2,563.0
1657013,3171,8,100,2,563.0
1700382,3137,10,100,2,560.0
1652604,3121,6,100,2,559.0
1652080,3106,9,100,2,557.0
1693700,3089,8,100,2,556.0
1655373,3086,10,100,2,556.0
1666441,3055,3,100,2,553.0
1690634,3039,10,100,2,551.0
1683409,3026,11,100,2,550.0
1654621,3022,5,100,2,550.0
1678494,3008,4,100,2,548.0
1684170,3002,10,100,2,548.0
1662395,2999,10,100,2,548.0
1644050,2993,10,100,2,547.0
1666519,2951,5,100,2,543.0
1672347,2928,4,100,2,541.0
1699769,2909,4,100,2,539.0
1700141,2893,1,100,2,538.0
1699571,2886,1,100,2,537.0
1700980,2840,1,100,2,533.0
1697083,2825,4,100,2,532.0
1699696,2765,1,100,2,526.0
1699239,2758,1,100,2,525.0
1699950,2752,2,100,2,525.0
1699433,2747,7,100,2,524.0
1683935,2745,1,100,2,524.0
1649008,2728,6,100,2,522.0
1668362,2724,2,100,2,522.0
1656348,2699,5,100,2,520.0
1683419,2689,9,100,2,519.0
1672110,2688,8,100,2,518.0
