orig_port_cd,dest_port_cd,rate_records,average_rate,average_minimum_cost,average_transit_days,route
PORT03,PORT09,42,9.84,36.82,3.05,PORT03 → PORT09
PORT10,PORT09,222,5.37,11.82,3.17,PORT10 → PORT09
PORT05,PORT09,219,2.87,14.52,1.27,PORT05 → PORT09
PORT09,PORT09,24,2.84,24.82,4.42,PORT09 → PORT09
PORT06,PORT09,479,2.53,6.77,1.99,PORT06 → PORT09
PORT04,PORT09,231,1.94,10.21,1.58,PORT04 → PORT09
PORT02,PORT09,226,1.87,9.51,1.62,PORT02 → PORT09
PORT08,PORT09,39,0.59,58.55,4.82,PORT08 → PORT09
PORT07,PORT09,20,0.2,18.88,4.5,PORT07 → PORT09
PORT11,PORT09,35,0.13,15.71,5.29,PORT11 → PORT09
