product_id,average_daily_demand,daily_demand_std,average_lead_time_days,service_level_z,safety_stock_units,reorder_point_units,abc_class
1684862,3470409.0,0.0,2.94,1.645,0.0,10194326.0,A
1700569,904493.0,0.0,2.67,1.645,0.0,2411981.0,A
1676592,1119252.0,0.0,2.0,1.645,0.0,2238504.0,A
1684560,509739.0,0.0,3.73,1.645,0.0,1901719.0,A
1664051,873011.0,0.0,2.0,1.645,0.0,1746022.0,A
1661099,560687.0,0.0,3.0,1.645,0.0,1682061.0,A
1667927,814076.0,0.0,2.0,1.645,0.0,1628152.0,A
1683560,772283.0,0.0,2.0,1.645,0.0,1544566.0,A
1671426,523433.0,0.0,2.83,1.645,0.0,1483060.0,A
1700140,811381.0,0.0,1.82,1.645,0.0,1479577.0,A
1666524,670437.0,0.0,2.0,1.645,0.0,1340874.0,A
1700130,658352.0,0.0,2.0,1.645,0.0,1316704.0,A
1700143,654556.0,0.0,2.0,1.645,0.0,1309112.0,A
1700142,453026.0,0.0,2.0,1.645,0.0,906052.0,A
1678000,432782.0,0.0,2.0,1.645,0.0,865564.0,A
1700139,432338.0,0.0,2.0,1.645,0.0,864676.0,A
1693230,366911.0,0.0,2.0,1.645,0.0,733822.0,A
1664067,365628.0,0.0,2.0,1.645,0.0,731256.0,A
1674598,339161.0,0.0,2.0,1.645,0.0,678322.0,A
1685028,334332.0,0.0,2.0,1.645,0.0,668664.0,A
1700137,307136.0,0.0,2.0,1.645,0.0,614272.0,A
1655818,298241.0,0.0,2.0,1.645,0.0,596482.0,A
1651299,290185.0,0.0,1.9,1.645,0.0,552733.0,A
1677878,287598.0,0.0,1.89,1.645,0.0,542328.0,A
1677891,268576.0,0.0,1.97,1.645,0.0,527783.0,A
1682210,254751.0,0.0,2.0,1.645,0.0,509502.0,A
1700128,232717.0,0.0,2.0,1.645,0.0,465434.0,A
1699540,341263.0,0.0,1.36,1.645,0.0,464118.0,A
1664061,218139.0,0.0,2.0,1.645,0.0,436278.0,A
1682341,214962.0,0.0,2.0,1.645,0.0,429924.0,A
1692333,218490.0,0.0,1.86,1.645,0.0,405767.0,A
1700138,242995.0,0.0,1.6,1.645,0.0,388792.0,A
1699792,242801.0,0.0,1.6,1.645,0.0,388482.0,A
1691700,172844.0,0.0,2.0,1.645,0.0,345688.0,A
1668547,172295.0,0.0,1.99,1.645,0.0,342776.0,A
1656246,157878.0,0.0,1.93,1.645,0.0,305460.0,A
1699574,302349.0,0.0,1.0,1.645,0.0,302349.0,A
1671461,113985.0,0.0,2.25,1.645,0.0,256466.0,A
1660885,125027.0,0.0,2.0,1.645,0.0,250054.0,A
1699625,139879.0,0.0,1.78,1.645,0.0,248674.0,A
1682681,119330.0,0.0,2.0,1.645,0.0,238660.0,A
1675615,119329.0,0.0,2.0,1.645,0.0,238658.0,A
1699570,118093.0,0.0,2.0,1.645,0.0,236186.0,A
1695862,114615.0,0.0,2.0,1.645,0.0,229230.0,A
1699561,97864.0,0.0,2.2,1.645,0.0,215301.0,A
1676853,110323.0,0.0,1.93,1.645,0.0,213090.0,A
1691532,104880.0,0.0,2.0,1.645,0.0,209760.0,A
1700558,101498.0,0.0,2.0,1.645,0.0,202996.0,A
1689548,106434.0,0.0,1.76,1.645,0.0,187260.0,A
1685760,93002.0,0.0,2.0,1.645,0.0,186004.0,A
1689547,116341.0,0.0,1.59,1.645,0.0,185418.0,A
1689146,182862.0,0.0,1.0,1.645,0.0,182862.0,A
1662552,91141.0,0.0,1.95,1.645,0.0,178139.0,A
1667817,87128.0,0.0,2.0,1.645,0.0,174256.0,A
1677692,86157.0,0.0,2.0,1.645,0.0,172314.0,A
1699952,87544.0,0.0,1.95,1.645,0.0,170919.0,A
1666443,83255.0,0.0,2.0,1.645,0.0,166510.0,A
1699548,162871.0,0.0,1.0,1.645,0.0,162871.0,A
1651298,94118.0,0.0,1.72,1.645,0.0,162272.0,A
1699564,79480.0,0.0,2.0,1.645,0.0,158960.0,A
1687346,79646.0,0.0,1.98,1.645,0.0,157942.0,A
1699419,70326.0,0.0,2.15,1.645,0.0,151471.0,A
1682682,75476.0,0.0,2.0,1.645,0.0,150952.0,A
1699369,78252.0,0.0,1.84,1.645,0.0,144148.0,A
1699573,138254.0,0.0,1.0,1.645,0.0,138254.0,A
1678427,45763.0,0.0,3.0,1.645,0.0,137289.0,B
1699315,134766.0,0.0,1.0,1.645,0.0,134766.0,A
1654498,65617.0,0.0,2.0,1.645,0.0,131234.0,A
1687384,64976.0,0.0,2.0,1.645,0.0,129952.0,A
1664069,64809.0,0.0,2.0,1.645,0.0,129618.0,A
1676942,73016.0,0.0,1.72,1.645,0.0,125750.0,A
1687774,58313.0,0.0,2.0,1.645,0.0,116626.0,B
1668545,58594.0,0.0,1.99,1.645,0.0,116608.0,A
1694456,57878.0,0.0,2.0,1.645,0.0,115756.0,B
1699575,115739.0,0.0,1.0,1.645,0.0,115739.0,A
1699417,90846.0,0.0,1.23,1.645,0.0,111810.0,A
1699567,92894.0,0.0,1.2,1.645,0.0,111473.0,A
1689546,65619.0,0.0,1.62,1.645,0.0,106313.0,A
1676699,49559.0,0.0,2.0,1.645,0.0,99118.0,B
1696074,52806.0,0.0,1.86,1.645,0.0,98068.0,B
1669409,48788.0,0.0,2.0,1.645,0.0,97576.0,B
1699799,96012.0,0.0,1.0,1.645,0.0,96012.0,A
1699697,95942.0,0.0,1.0,1.645,0.0,95942.0,A
1699948,50251.0,0.0,1.87,1.645,0.0,93948.0,B
1686215,46430.0,0.0,2.0,1.645,0.0,92860.0,B
1689469,47242.0,0.0,1.94,1.645,0.0,91784.0,B
1695348,45843.0,0.0,1.97,1.645,0.0,90338.0,B
1688575,53589.0,0.0,1.66,1.645,0.0,88857.0,B
1688629,56490.0,0.0,1.52,1.645,0.0,85922.0,B
1693453,52480.0,0.0,1.62,1.645,0.0,85280.0,B
1667934,41982.0,0.0,2.0,1.645,0.0,83964.0,B
1679638,42123.0,0.0,1.97,1.645,0.0,82930.0,B
1699576,61558.0,0.0,1.33,1.645,0.0,82077.0,A
1697084,58476.0,0.0,1.39,1.645,0.0,81358.0,A
1689145,48171.0,0.0,1.66,1.645,0.0,79862.0,B
1651302,39872.0,0.0,2.0,1.645,0.0,79744.0,B
1654766,47267.0,0.0,1.67,1.645,0.0,78778.0,B
1688571,46608.0,0.0,1.61,1.645,0.0,74961.0,B
1699795,43601.0,0.0,1.71,1.645,0.0,74745.0,B
1668550,38966.0,0.0,1.86,1.645,0.0,72618.0,B
1658528,40044.0,0.0,1.81,1.645,0.0,72433.0,B
1699368,35903.0,0.0,2.0,1.645,0.0,71806.0,B
1699539,68118.0,0.0,1.0,1.645,0.0,68118.0,A
1666954,33720.0,0.0,2.0,1.645,0.0,67440.0,B
1699416,33517.0,0.0,2.0,1.645,0.0,67034.0,B
1660897,32772.0,0.0,2.0,1.645,0.0,65544.0,B
1683200,32224.0,0.0,2.0,1.645,0.0,64448.0,B
1683199,32209.0,0.0,2.0,1.645,0.0,64418.0,B
1670215,32107.0,0.0,2.0,1.645,0.0,64214.0,B
1654622,31180.0,0.0,2.0,1.645,0.0,62360.0,B
1688589,38658.0,0.0,1.61,1.645,0.0,62129.0,B
1697080,39033.0,0.0,1.55,1.645,0.0,60438.0,B
1675654,30194.0,0.0,2.0,1.645,0.0,60388.0,B
1660585,35677.0,0.0,1.68,1.645,0.0,60042.0,B
1699674,59627.0,0.0,1.0,1.645,0.0,59627.0,A
1699834,58734.0,0.0,1.0,1.645,0.0,58734.0,A
1699670,32841.0,0.0,1.75,1.645,0.0,57472.0,B
1699283,55550.0,0.0,1.0,1.645,0.0,55550.0,B
1699842,54544.0,0.0,1.0,1.645,0.0,54544.0,B
1699836,53844.0,0.0,1.0,1.645,0.0,53844.0,B
1688633,33294.0,0.0,1.58,1.645,0.0,52569.0,B
1672344,25926.0,0.0,2.0,1.645,0.0,51852.0,B
1680210,30472.0,0.0,1.69,1.645,0.0,51367.0,B
1693740,25607.0,0.0,2.0,1.645,0.0,51214.0,B
1677889,25517.0,0.0,2.0,1.645,0.0,51034.0,B
1697317,50597.0,0.0,1.0,1.645,0.0,50597.0,B
1682805,28244.0,0.0,1.78,1.645,0.0,50148.0,B
1663347,25013.0,0.0,2.0,1.645,0.0,50026.0,B
1683203,38594.0,0.0,1.29,1.645,0.0,49743.0,B
1675655,30270.0,0.0,1.64,1.645,0.0,49729.0,B
1699953,31770.0,0.0,1.56,1.645,0.0,49641.0,B
1683700,24543.0,0.0,2.0,1.645,0.0,49086.0,B
1676566,34569.0,0.0,1.4,1.645,0.0,48561.0,B
1660579,30651.0,0.0,1.56,1.645,0.0,47941.0,B
1696799,47234.0,0.0,1.0,1.645,0.0,47234.0,B
1669702,23079.0,0.0,2.0,1.645,0.0,46158.0,B
1658532,24594.0,0.0,1.84,1.645,0.0,45164.0,B
1695687,22570.0,0.0,2.0,1.645,0.0,45140.0,B
1699553,43141.0,0.0,1.05,1.645,0.0,45102.0,B
1699537,18583.0,0.0,2.4,1.645,0.0,44599.0,B
1697085,33115.0,0.0,1.35,1.645,0.0,44578.0,B
1689033,22137.0,0.0,2.0,1.645,0.0,44274.0,B
1682784,25623.0,0.0,1.72,1.645,0.0,44087.0,B
1699841,43522.0,0.0,1.0,1.645,0.0,43522.0,B
1688587,26921.0,0.0,1.59,1.645,0.0,42737.0,B
1694720,21614.0,0.0,1.95,1.645,0.0,42199.0,B
1695345,20969.0,0.0,2.0,1.645,0.0,41938.0,B
1683704,20850.0,0.0,2.0,1.645,0.0,41700.0,B
1650904,29656.0,0.0,1.39,1.645,0.0,41261.0,B
1702016,20483.0,0.0,2.0,1.645,0.0,40966.0,B
1693618,20465.0,0.0,2.0,1.645,0.0,40930.0,B
1678674,20304.0,0.0,2.0,1.645,0.0,40608.0,B
1677877,20213.0,0.0,2.0,1.645,0.0,40426.0,B
1677884,19792.0,0.0,2.0,1.645,0.0,39584.0,B
1676565,36857.0,0.0,1.07,1.645,0.0,39554.0,B
1699268,29413.0,0.0,1.33,1.645,0.0,39217.0,B
1669701,19352.0,0.0,2.0,1.645,0.0,38704.0,B
1674853,19148.0,0.0,2.0,1.645,0.0,38296.0,B
1696798,38218.0,0.0,1.0,1.645,0.0,38218.0,B
1696746,20049.0,0.0,1.9,1.645,0.0,38093.0,B
1699797,37835.0,0.0,1.0,1.645,0.0,37835.0,B
1679639,37170.0,0.0,1.0,1.645,0.0,37170.0,B
1700035,37128.0,0.0,1.0,1.645,0.0,37128.0,B
1699584,11419.0,0.0,3.2,1.645,0.0,36541.0,B
1699318,36233.0,0.0,1.0,1.645,0.0,36233.0,B
1689544,20436.0,0.0,1.77,1.645,0.0,36156.0,B
1689032,17875.0,0.0,2.0,1.645,0.0,35750.0,B
1699290,35263.0,0.0,1.0,1.645,0.0,35263.0,B
1671416,17430.0,0.0,2.0,1.645,0.0,34860.0,B
1693001,17387.0,0.0,2.0,1.645,0.0,34774.0,B
1650685,17290.0,0.0,2.0,1.645,0.0,34580.0,B
1699311,8637.0,0.0,4.0,1.645,0.0,34548.0,C
1660578,17239.0,0.0,2.0,1.645,0.0,34478.0,B
1646393,17237.0,0.0,2.0,1.645,0.0,34474.0,B
1699525,8592.0,0.0,4.0,1.645,0.0,34368.0,C
1699794,33672.0,0.0,1.0,1.645,0.0,33672.0,B
1660580,16822.0,0.0,2.0,1.645,0.0,33644.0,B
1663396,16759.0,0.0,2.0,1.645,0.0,33518.0,B
1666295,16718.0,0.0,2.0,1.645,0.0,33436.0,B
1699371,8254.0,0.0,4.0,1.645,0.0,33016.0,C
1699951,16391.0,0.0,2.0,1.645,0.0,32782.0,B
1699562,16279.0,0.0,2.0,1.645,0.0,32558.0,B
1696263,15952.0,0.0,2.0,1.645,0.0,31904.0,B
1689541,23406.0,0.0,1.31,1.645,0.0,30641.0,B
1692109,18525.0,0.0,1.65,1.645,0.0,30566.0,B
1689147,15602.0,0.0,1.92,1.645,0.0,29956.0,B
1683636,26170.0,0.0,1.12,1.645,0.0,29275.0,B
1615677,14581.0,0.0,2.0,1.645,0.0,29162.0,B
1699329,28742.0,0.0,1.0,1.645,0.0,28742.0,B
1682679,14125.0,0.0,2.0,1.645,0.0,28250.0,B
1697072,14079.0,0.0,2.0,1.645,0.0,28158.0,B
1683197,14069.0,0.0,2.0,1.645,0.0,28138.0,B
1688288,16074.0,0.0,1.75,1.645,0.0,28130.0,B
1689549,16427.0,0.0,1.7,1.645,0.0,27987.0,B
1662551,13787.0,0.0,2.0,1.645,0.0,27574.0,B
1699555,7803.0,0.0,3.43,1.645,0.0,26753.0,C
1683634,25111.0,0.0,1.07,1.645,0.0,26749.0,B
1699946,14254.0,0.0,1.87,1.645,0.0,26607.0,B
1684703,12957.0,0.0,2.0,1.645,0.0,25914.0,B
1699552,25669.0,0.0,1.0,1.645,0.0,25669.0,B
1655982,12811.0,0.0,2.0,1.645,0.0,25622.0,B
1688290,14220.0,0.0,1.78,1.645,0.0,25349.0,B
1622685,12650.0,0.0,2.0,1.645,0.0,25300.0,B
1675662,12523.0,0.0,2.0,1.645,0.0,25046.0,B
