plant_code,daily_capacity,average_daily_units,utilization_proxy_pct
PLANT15,11,0.0,0.0
PLANT17,8,0.0,0.0
PLANT18,111,0.0,0.0
PLANT05,385,0.0,0.0
PLANT02,138,0.0,0.0
PLANT01,1070,0.0,0.0
PLANT06,49,0.0,0.0
PLANT10,118,0.0,0.0
PLANT07,265,0.0,0.0
PLANT14,549,0.0,0.0
PLANT16,457,245133.0,53639.61
PLANT12,209,112000.0,53588.52
PLANT11,332,0.0,0.0
PLANT09,11,223830.0,2034818.18
PLANT03,1013,28611617.0,2824443.93
PLANT13,490,43379.0,8852.86
PLANT19,7,0.0,0.0
PLANT08,14,277008.0,1978628.57
PLANT04,554,348.0,62.82
